node_id,original_node_id,latitude,longitude,x,y,degree,node_role,road_rank,road_class,importance_score,node_type,node_name,turn_p
R023,2810025001,36.98515029010112,127.61838443505033,255054.43269907287,487543.71186233714,6,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,195.635515,106,음성IC교차로,1
R024,2310003202,36.99681521692905,127.15334893688157,213650.4190408239,488670.50880353287,8,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,195.175262,106,안성IC(북측),1
R025,2140014601,37.02625552092633,127.14155342448895,212595.57689765512,491936.1073926271,8,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,195.165794,106,안성JC(남측),0
R026,1510018701,35.91452991999719,128.65628608036667,349504.38819015725,369828.79187693424,7,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,194.787784,106,도동JC,1
R027,3590012601,36.701291709495344,128.11469744189978,299609.673438619,456442.98370796227,8,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,194.307199,106,문경새재IC,0
R028,3570849602,36.037132492257925,128.8122665900332,363332.4615000002,383684.8080000002,9,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,193.927661,106,신녕IC교차로,0
R029,3010090302,36.82468230491583,127.16747674491667,214941.54704240547,469569.9876671784,10,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,193.885122,106,천안IC,0
R030,3570849601,36.037146103651686,128.8123989274965,363344.3616699905,383686.5405979268,9,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,193.770375,106,신녕IC교차로,0
R031,3570849402,36.041004458866375,128.81041895096783,363157.9330000002,384111.40850000083,8,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,193.515052,106,신녕IC,1
R032,3670008501,35.76045571960374,128.371503748106,324036.5136059894,352333.25136414816,11,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,193.382286,106,고령JC,1
R033,2770102901,36.26743629402015,127.8356666129268,275092.37119999994,408043.7371999994,7,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,193.322862,106,영동IC(남측),0
R034,2770105201,36.22183977626684,127.90571718425967,281434.5081000002,403040.5862000007,10,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,193.318586,106,황간IC,0
R035,2770105301,36.22241443448485,127.91206808205136,282004.9424112965,403109.707718928,10,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,193.305148,106,황간IC(동측),0
R036,3530109401,36.20406739852911,128.00113392216826,290034.1961999996,401152.7876999986,10,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,193.302705,106,추풍령IC(북측),0
R037,3530110501,36.13390610667996,128.09194786524031,298289.1648000004,393455.23420000076,7,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,193.296291,106,김천IC(서측),0
R038,3530110802,36.12777156428802,128.09497695771245,298569.5035050715,392777.56726981193,8,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,192.455061,106,김천IC앞,1
R039,1570012601,35.66807515794538,128.43569674515243,329992.3765171835,342165.3864129403,8,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,191.788569,106,현풍JC,0
R040,2310020305,37.08088076253459,127.43492860234083,238672.7804629561,498077.4748953468,5,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,191.7137,106,죽산교차로,0
R041,2800135901,36.757268958169774,127.99891954383452,289198.6308741616,462541.13040261413,8,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,189.960558,106,연풍IC교차로,0
R042,2800135601,36.758854739149655,127.97719819973524,287257.17019058287,462697.0978597113,10,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,189.950175,106,적석교차로,0
R043,2800132202,36.80936725558232,127.8122716647325,272482.4474396204,468165.17204091046,8,anchor|named_interchange_or_intersection|branch|node_type_106,103,일반국도,189.855192,106,동진교차로,0
R044,2800132307,36.8035336902271,127.82546871001632,273665.68718462565,467527.8637574119,9,anchor|named_interchange_or_intersection|branch|node_type_106,103,일반국도,189.852443,106,검승교차로,0
R045,2800133002,36.79060653128961,127.85404600586614,276228.8175545663,466115.63608056394,11,anchor|named_interchange_or_intersection|branch|node_type_106,103,일반국도,189.846946,106,칠성교차로,0
R046,2800132203,36.80938374915422,127.81214566885461,272471.18853200995,468166.9069508184,8,anchor|named_interchange_or_intersection|branch|node_type_106,103,일반국도,189.845419,106,동진교차로,0
R047,2800132702,36.79244212733117,127.8481301918743,275698.9779159677,466314.64760753734,11,anchor|named_interchange_or_intersection|branch|node_type_106,103,일반국도,189.844808,106,칠성교차로,0
R048,2800133307,36.78177620710401,127.88209696018058,278741.6272706515,465158.38981107855,10,anchor|named_interchange_or_intersection|branch|node_type_106,103,일반국도,189.84267,106,쌍곡1교차로,0
R049,3080140302,36.076008354314524,127.10180372261796,209170.18433596566,386483.3131880316,7,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,189.073386,106,논산JC,0
